307	1	 1422.72	
319	1	 2094.40	
350	8	 1610.76	
362	1	 2317.12	
375	1	 1913.85	
376	1	 1120.43	
452	6	 1343.24	
457	1	 1406.14	
483	1	 2471.86	a.sxr
515	2	 1593.75	
523	1	 1364.86	
570	1	 1185.55	
575	1	 1871.42	
576	1	 1663.06	
597	1	 1432.73	
605	1	 2059.30	
610	1	 1733.57	
621	8	 1438.50	
636	1	 2565.36	
657	8	 2003.25	
664	1	 1391.20	
667	1	 2345.15	
669	8	 1649.83	
681	7	 1425.98	
698	4	 1254.45	
699	1	 1324.69	
701	8	 1273.19	
706	1	 1130.59	
747	4	 1825.49	
758	1	 1314.16	
762	1	 1507.95	
763	1	 1328.67	
765	1	 1811.99	
767	1	 1288.40	
768	1	 1638.38	
770	1	 1786.46	
837	2	 1103.85	
863	5	 1797.44	
878	7	 1364.18	
919	1	 1538.32	
940	3	 1076.10	
941	3	 1475.08	
947	1	 1424.28	
965	9	 1402.75	
987	1	 1040.60	
1010	5	 1593.92	
1025	1	 1208.28	
1029	1	 1580.98	
1055	1	 1181.71	
1068	2	 1716.81	
1073	2	 1855.97	
1080	2	 1785.48	
1082	2	 1577.64	
1092	1	 1213.31	
1161	1	  847.96	
1178	1	 1262.05	
1247	1	 1307.52	
1259	2	 1130.10	
1273	3	 1299.61	
1278	5	 1275.64	
1286	3	 1482.25	
1288	5	 1296.66	
1331	2	 1109.20	
1349	2	 1466.79	
1378	5	  941.40	
1379	3	  965.08	
1404	1	  934.41	
1452	1	 1785.80	
1456	8	 1274.13	
1457	8	 1383.54	
1481	3	 1127.85	
1488	7	 1409.14	
1489	2	 1203.78	
1548	5	  888.28	
1553	1	  993.81	
1557	5	 1228.79	
1558	2	 1382.47	
1561	6	 1000.25	
1562	1	 1226.65	
1580	9	 1146.05	
1581	9	 1397.73	
1585	9	 1330.56	
1588	9	  726.86	
1591	9	  997.13	
1602	9	 1009.99	
1608	4	 1168.46	
1609	9	 1103.11	
1611	9	 1258.66	
1620	9	 1247.72	
1687	1	 1724.03	
1708	1	  959.45	
1715	1	 1213.55	
1743	1	 1028.14	
1746	1	  962.64	
1748	8	 1601.40	
1767	1	 1119.74	
1793	1	 1164.81	
1797	1	  380.70	
1800	1	 1679.54	
